EFORSCDCID,ReportingState,ReportingCounty,FirstIll,LastIll,FirstExposure,LastExposure,Illnesses,Hospitalizations,Deaths,Genus1,Genus2,Genus3,Genus4,Genus5,Genus6,Species1,Species2,Species3,Species4,Species5,Species6,Serotype1,Serotype2,Serotype3,Serotype4,Serotype5,Serotype6,Confirmed1,Confirmed2,Confirmed3,Confirmed4,Confirmed5,Confirmed6,WhereEaten1,WhereEaten2,WhereEaten3,WhereEaten4,WhereEaten5,WhereEaten6,WhereEaten7,CommodityGroup
171,Washington,Snohomish,1999-03-26T00:00:00Z,,1999-03-25T00:00:00Z,1999-03-25T00:00:00Z,18,,,Other viral,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
173,Washington,King,1999-03-14T00:00:00Z,,1999-03-14T00:00:00Z,,6,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
176,Washington,Kitsap,1999-03-09T00:00:00Z,,1999-03-09T00:00:00Z,,10,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,>1 commodity
178,Washington,Snohomish,1999-02-20T00:00:00Z,,1999-02-19T00:00:00Z,,6,1,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),Private home,,,,,,Unknown
179,Washington,Thurston,1999-02-20T00:00:00Z,,1999-02-19T00:00:00Z,1999-02-20T00:00:00Z,9,,,Other viral,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Unknown
186,Washington,Kitsap,1999-01-31T00:00:00Z,,1999-01-31T00:00:00Z,,8,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
189,Washington,Spokane,1999-01-17T00:00:00Z,,1999-01-16T00:00:00Z,,27,,,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Fruits-Nuts
191,Washington,Skagit,1999-01-04T00:00:00Z,,1999-01-04T00:00:00Z,,61,,,Bacillus,,,,,,cereus,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,>1 commodity
193,Vermont,Rutland,1999-09-08T00:00:00Z,,1999-08-13T00:00:00Z,1999-08-15T00:00:00Z,12,2,0,Hepatitis,,,,,,A,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),Picnic,,,,,,Unknown
194,Vermont,Windham,1998-12-10T00:00:00Z,,1998-12-10T00:00:00Z,1998-12-10T00:00:00Z,33,,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
195,Virginia,,1998-05-26T00:00:00Z,,,,8,,,Escherichia,,,,,,"coli, Shiga toxin-producing",,,,,,O157:H7,,,,,,1,.,.,.,.,.,Private home,,,,,,,>1 commodity
197,Virginia,Norfolk,1999-10-22T00:00:00Z,,1999-10-22T00:00:00Z,1999-10-22T00:00:00Z,26,0,0,Staphylococcus,,,,,,aureus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),Religious location (church/temple),,,,,,Pork
198,Virginia,Powhatan,1999-09-06T00:00:00Z,,1999-09-06T00:00:00Z,1999-09-06T00:00:00Z,8,0,0,Clostridium,,,,,,perfringens,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,>1 commodity
199,Virginia,Roanoke,1999-07-12T00:00:00Z,,1999-07-09T00:00:00Z,1999-07-10T00:00:00Z,33,,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Other,,,,,,,>1 commodity
200,Virginia,Prince William,1999-06-11T00:00:00Z,,1999-06-11T00:00:00Z,1999-06-12T00:00:00Z,16,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
201,Virginia,Loudoun,1999-05-21T00:00:00Z,,1999-05-19T00:00:00Z,1999-05-21T00:00:00Z,22,,0,Salmonella,,,,,,enterica,,,,,,Muenchen,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Poultry
202,Virginia,Henrico,1999-05-10T00:00:00Z,,1999-06-01T00:00:00Z,1999-06-02T00:00:00Z,177,8,0,Salmonella,,,,,,enterica,,,,,,Enteritidis,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Eggs
203,Virginia,Danville,1999-05-08T00:00:00Z,,1999-05-08T00:00:00Z,1999-05-08T00:00:00Z,49,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Fruits-Nuts
204,Virginia,Augusta,1999-01-17T00:00:00Z,,1999-01-16T00:00:00Z,1999-01-17T00:00:00Z,25,,,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
206,Utah,Salt Lake,1999-12-02T00:00:00Z,,1999-12-02T00:00:00Z,1999-12-03T00:00:00Z,59,,,Salmonella,,,,,,enterica,,,,,,Enteritidis,,,,,,1,.,.,.,.,.,Day care center,School,,,,,,Unknown
208,Utah,Salt Lake,1999-06-05T00:00:00Z,,1999-06-05T00:00:00Z,1999-06-05T00:00:00Z,256,0,0,Salmonella,,,,,,enterica,,,,,,Enteritidis,,,,,,1,.,.,.,.,.,Picnic,"Fair, festival, other mobile services",,,,,,Eggs
210,Texas,Galveston,1999-10-15T00:00:00Z,,,,10,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
214,Texas,Midland,1999-08-15T00:00:00Z,,,,46,,,Shigella,,,,,,sonnei,,,,,,,,,,,,1,.,.,.,.,.,Day care center,,,,,,,Unknown
215,Texas,Stephens,1998-10-15T00:00:00Z,,,,29,,,Hepatitis,,,,,,A,,,,,,,,,,,,1,.,.,.,.,.,,,,,,,,Fruits-Nuts
216,Texas,Williamson,1998-09-15T00:00:00Z,,,,8,,,Vibrio,,,,,,parahaemolyticus,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Mollusk
217,Texas,Harrison,1998-08-15T00:00:00Z,,,,7,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,>1 commodity
218,Texas,Wise,1998-08-15T00:00:00Z,,,,60,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Unknown
219,Texas,Henderson,1998-08-15T00:00:00Z,,,,8,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Unknown
220,Texas,Cherokee,1998-08-15T00:00:00Z,,,,225,,,Staphylococcus,,,,,,aureus,,,,,,,,,,,,1,.,.,.,.,.,,,,,,,,>1 commodity
222,Texas,Hill,1998-07-15T00:00:00Z,,,,6,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Unknown
223,Texas,Washington,1998-07-15T00:00:00Z,,,,19,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Unknown
225,Texas,,1998-06-15T00:00:00Z,,,,23,,,Escherichia,,,,,,"coli, Shiga toxin-producing",,,,,,O157:H7,,,,,,1,.,.,.,.,.,,,,,,,,>1 commodity
226,Texas,Palo Pinto,1998-06-15T00:00:00Z,,,,20,,,Salmonella,,,,,,enterica,,,,,,Typhimurium,,,,,,1,.,.,.,.,.,,,,,,,,Unknown
230,Texas,Williamson,1998-05-15T00:00:00Z,,,,141,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,School,,,,,,,Unknown
231,Texas,Wood,1998-05-15T00:00:00Z,,,,50,,,Clostridium,,,,,,perfringens,,,,,,,,,,,,1,.,.,.,.,.,,,,,,,,>1 commodity
232,Texas,Scurry,1998-04-15T00:00:00Z,,,,18,,,Other bacterial,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
233,Texas,Smith,1998-04-15T00:00:00Z,,,,15,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Beef
235,Texas,Dallas,1998-03-15T00:00:00Z,,,,78,,,Other viral,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Unknown
238,Texas,Tyler,1998-02-15T00:00:00Z,,,,22,,,Staphylococcus,,,,,,aureus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
239,Texas,Henderson,1998-01-15T00:00:00Z,,,,218,,,Staphylococcus,,,,,,aureus,,,,,,,,,,,,0,.,.,.,.,.,,,,,,,,Poultry
240,Texas,Denton,1999-06-09T00:00:00Z,,1999-06-09T00:00:00Z,,55,,0,Escherichia,,,,,,"coli, Shiga toxin-producing",,,,,,O111,,,,,,1,.,.,.,.,.,Camp,,,,,,,Unknown
241,Texas,Wichita,1999-10-16T00:00:00Z,,,,34,,,Clostridium,,,,,,perfringens,,,,,,,,,,,,1,.,.,.,.,.,Other,,,,,,,Poultry
242,Texas,Dallas,1999-11-04T00:00:00Z,,1999-11-04T00:00:00Z,1999-11-04T00:00:00Z,55,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,School,,,,,,,>1 commodity
